year,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_name,home_team_city,away_team_name,away_team_city,kickoff_time,week_num,total,home,away,attendance,wins,loss,points_for,points_against,points_differential,margin_of_victory,strength_of_schedule,simple_rating,offensive_ranking,defensive_ranking,playoffs,sb_winner,home_score_diff,team_tier
2000,Cleveland Browns,Baltimore Ravens,Baltimore Ravens,0,Sun,2000-10-01,1:03PM,12,0,348,1,230,4,Browns,Cleveland,Ravens,Baltimore,2000-10-01 13:03:00,5,1057139,581544,475595,73018,3,13,161,419,-258,-16.1,1.5,-14.6,-9.1,-5.5,No Playoffs,No Superbowl,-12,
2000,Jacksonville Jaguars,Pittsburgh Steelers,Pittsburgh Steelers,0,Sun,2000-10-01,1:03PM,24,13,332,3,206,2,Jaguars,Jacksonville,Steelers,Pittsburgh,2000-10-01 13:03:00,5,991957,482510,509447,64351,7,9,367,327,40,2.5,-1.4,1.1,3.2,-2.1,No Playoffs,No Superbowl,-11,Elite Offense
2000,Cincinnati Bengals,Miami Dolphins,Miami Dolphins,0,Sun,2000-10-01,4:05PM,31,16,302,2,350,1,Bengals,Cincinnati,Dolphins,Miami,2000-10-01 16:05:00,5,967434,469992,497442,61535,4,12,185,359,-174,-10.9,0.4,-10.5,-8.1,-2.4,No Playoffs,No Superbowl,-15,
2000,Denver Broncos,New England Patriots,New England Patriots,0,Sun,2000-10-01,4:06PM,28,19,314,1,405,2,Broncos,Denver,Patriots,New England,2000-10-01 16:06:00,5,1140030,604042,535988,75684,11,5,485,369,116,7.3,-2.2,5.0,7.8,-2.7,Playoffs,No Superbowl,-9,Elite Offense
2000,San Francisco 49ers,Arizona Cardinals,San Francisco 49ers,0,Sun,2000-10-01,4:15PM,27,20,345,1,365,2,49ers,San Francisco,Cardinals,Arizona,2000-10-01 16:15:00,5,1057954,541964,515990,66985,6,10,388,422,-34,-2.1,-1.7,-3.8,1.7,-5.5,No Playoffs,No Superbowl,7,Elite Offense
2000,Green Bay Packers,Chicago Bears,Chicago Bears,0,Sun,2000-10-01,4:15PM,27,24,370,0,364,3,Packers,Green Bay,Bears,Chicago,2000-10-01 16:15:00,5,1049602,478747,570855,59869,9,7,353,323,30,1.9,0.6,2.5,1.8,0.7,No Playoffs,No Superbowl,-3,Elite Offense
2000,Washington Redskins,Tampa Bay Buccaneers,Washington Redskins,0,Sun,2000-10-01,4:15PM,20,17,330,1,255,2,Redskins,Washington,Buccaneers,Tampa Bay,2000-10-01 16:15:00,5,1174332,647424,526908,83532,8,8,281,269,12,0.8,0.2,1.0,-2.9,3.8,No Playoffs,No Superbowl,3,
2000,Philadelphia Eagles,Atlanta Falcons,Philadelphia Eagles,0,Sun,2000-10-01,8:36PM,38,10,502,3,200,1,Eagles,Philadelphia,Falcons,Atlanta,2000-10-01 20:36:00,5,1039856,523531,516325,65424,11,5,351,245,106,6.6,-3.6,3.1,1.0,2.1,Playoffs,No Superbowl,28,Elite Offense
2000,Kansas City Chiefs,Seattle Seahawks,Kansas City Chiefs,0,Mon,2000-10-02,9:00PM,24,17,378,0,289,2,Chiefs,Kansas City,Seahawks,Seattle,2000-10-02 21:00:00,5,1115272,631365,483907,82893,7,9,355,354,1,0.1,0.6,0.6,0.1,0.6,No Playoffs,No Superbowl,7,Elite Offense
2000,Cincinnati Bengals,Tennessee Titans,Tennessee Titans,0,Sun,2000-10-08,1:00PM,23,14,417,2,213,2,Bengals,Cincinnati,Titans,Tennessee,2000-10-08 13:00:00,6,967434,469992,497442,63406,4,12,185,359,-174,-10.9,0.4,-10.5,-8.1,-2.4,No Playoffs,No Superbowl,-9,
2000,New York Jets,Pittsburgh Steelers,Pittsburgh Steelers,0,Sun,2000-10-08,1:01PM,20,3,330,0,206,4,Jets,New York,Steelers,Pittsburgh,2000-10-08 13:01:00,6,1145146,623711,521435,78441,9,7,321,321,0,0.0,3.5,3.5,1.4,2.2,No Playoffs,No Superbowl,-17,Elite Offense
2000,Detroit Lions,Green Bay Packers,Detroit Lions,0,Sun,2000-10-08,1:01PM,31,24,253,1,339,5,Lions,Detroit,Packers,Green Bay,2000-10-08 13:01:00,6,1140926,607076,533850,77549,9,7,307,307,0,0.0,1.4,1.4,-0.1,1.5,No Playoffs,No Superbowl,7,
2000,New England Patriots,Indianapolis Colts,New England Patriots,0,Sun,2000-10-08,1:02PM,24,16,301,0,408,3,Patriots,New England,Colts,Indianapolis,2000-10-08 13:02:00,6,1030594,482336,548258,60292,5,11,276,338,-62,-3.9,1.4,-2.5,-2.7,0.2,No Playoffs,No Superbowl,8,
2000,Miami Dolphins,Buffalo Bills,Miami Dolphins,0,Sun,2000-10-08,1:02PM,22,13,254,1,254,2,Dolphins,Miami,Bills,Buffalo,2000-10-08 13:02:00,6,1118883,589909,528974,73901,11,5,323,226,97,6.1,1.0,7.1,0.0,7.1,Playoffs,No Superbowl,9,
2000,Philadelphia Eagles,Washington Redskins,Washington Redskins,0,Sun,2000-10-08,1:02PM,17,14,407,2,274,4,Eagles,Philadelphia,Redskins,Washington,2000-10-08 13:02:00,6,1039856,523531,516325,65491,11,5,351,245,106,6.6,-3.6,3.1,1.0,2.1,Playoffs,No Superbowl,-3,Elite Offense
2000,Chicago Bears,New Orleans Saints,New Orleans Saints,0,Sun,2000-10-08,1:03PM,31,10,403,1,245,3,Bears,Chicago,Saints,New Orleans,2000-10-08 13:03:00,6,1080684,535552,545132,66944,5,11,216,355,-139,-8.7,2.4,-6.3,-6.4,0.1,No Playoffs,No Superbowl,-21,
2000,San Francisco 49ers,Oakland Raiders,Oakland Raiders,0,Sun,2000-10-08,4:00PM,34,28,471,2,472,2,49ers,San Francisco,Raiders,Oakland,2000-10-08 16:00:00,6,1057954,541964,515990,68344,6,10,388,422,-34,-2.1,-1.7,-3.8,1.7,-5.5,No Playoffs,No Superbowl,-6,Elite Offense
